pl_name,pl_mass,pl_mass_err1,pl_mass_err2,pl_rad,pl_rad_err1,pl_rad_err2,pl_instell,pl_orbital_period,pl_semi_major_axis,pl_eccentricity,pl_teq,st_age,st_age_upper,st_age_lower,st_mass,st_mass_err1,st_mass_err2,st_teff,st_teff_err1,st_teff_err2,st_met,st_met_err1,st_met_err2,pl_zbulk,pl_zbulk_err,pl_zbulk_rel,pl_zbulk_rel_err,pl_mbulk,pl_mbulk_err
TIC 279401253 b,6.14,0.39,0.42,1,0.04,0.04,12691871.83223651,76.8,0.369,0.448,486.3743427,1.2,2.2,0.3999999999999999,1.13,0.02,0.03,5951,80,80,0.2,0.05,0.05,0.023459732028114192,0.011418398641624163,1.0572921587625619,0.5146087489382448,46.32764393249442,22.78693274410123
TIC 393818343 b,4.34,0.15,0.15,1.087,0.023,0.021,95960064.43208386,16.24921,0.1291,0.6058,806.513925,3.8,6.4,1.6999999999999997,1.08,0.06,0.06,5756,67,66,0.318,0.058,0.058,0.029619424930917956,0.021985793445649184,1.017298927517017,0.7551167568254477,40.834354936874796,30.344175344738726
TOI-1130 c,1.024826935179358,0.017589679,-0.017589679,1.1892857142857145,0.1383928571428571,-0.125892857,40339596.316781335,8.350231,0.07191,0.0457,649.4147141,4.1,5,3.1999999999999997,0.71,0.02,-0.02,4350,60,-60,0.3,0.06,-0.06,0.10971795317604917,0.094902033,3.927802673682191,3.397406235239807,35.75034367439485,30.947879109330806
TOI-1259 A b,0.4410394273127753,0.049004374,-0.047004216,1.022857142857143,0.03,-0.027053571,193939604.16321415,3.477978,0.0407,0,961.6252618,4.8,5.5,4,0.74,0.06,-0.06,4775,100,-100,-0.5,0.5,-0.5,0.024922236768499924,0.021701593313783393,5.629359469603878,4.901890266159763,3.6362947751881225,3.250858433094347
TOI-1268 b,0.30331,0.0258,0.02611,0.812,0.054,0.054,162011860.7853977,8.1577094,0.0711,0.105,919.3395418,0.245,0.38,0.10999999999999999,0.96,0.04,0.04,5300,100,100,0.36,0.06,0.06,0.4577548325170679,0.080549701,14.272659405581832,2.5115157037793088,44.136575476396516,8.727700984823594
TOI-1386 b,0.148,0.019,0.018,0.54,0.018,0.016,46964312.01486302,25.83839,0.1732,0.061,674.5765324,3.3,6.8,1.0999999999999996,1.04,0.05,0.06,5793,76,73,0.164,0.056,0.056,0.7028401010201254,0.022391079257881898,34.41347245,1.096344372,33.112035650085005,4.561633506717216
TOI-1478 b,0.851,0.052,0.047,1.06,0.04,0.039,162716353.7,10.180249,0.0903,0.024,920.337331,9.1,12.2,5.199999999999999,0.95,0.06,0.04,5597,83,82,0.078,0.072,0.066,0.033235008366836495,0.028673916,1.9836623787335255,1.7114293632137825,9.082549408823429,7.882542388
TOI-1670 c,0.63,0.09,0.08,0.987,0.025,0.025,49945538.834209375,40.74976,0.249,0.09,685.0360284,2.53,2.96,2.0999999999999996,1.21,0.02,0.02,6170,61,61,0.09,0.07,0.07,0.072835321,0.039402655,4.228769410647237,2.2876914360517264,14.921646053206885,8.760319108555114
TOI-181 b,0.1452,0.0085,0.024,0.634,0.008,0.009,143776179.67496836,4.532,0.0539,0.1543,892.3001631,5.4,10.3,0.5,0.82,0.04,0.04,4994,50,50,0.272,0.08,0.08,0.5695897787187172,0.034539653,21.748742512845276,1.3188333960352074,26.312696731126987,3.521026339291548
TOI-1811 b,0.9720868785399622,0.076006797,-0.078006986,0.9948214285714286,0.025,-0.023035714,193756551.26316965,3.7130765,0.04389,0.052,961.3982702,5.9,10.8,1.9000000000000004,0.82,0.03,-0.03,4766,52,-54,0.306,0.076,-0.077,0.068457106,0.040719500848296605,2.417077088480963,1.4377203170058945,21.33779420831661,13.01600435
TOI-1899 b,0.6700598804279421,0.040003587,-0.040003587,0.9908035714285716,0.03,-0.03,4289590.849050331,29.090312,0.1525,0.044,370.8456635,7.1,11.6,2.3,0.63,0.03,-0.03,3926,45,-47,0.28,0.11,-0.11,0.043568912,0.034161707846699155,1.6332350091339416,1.2805942237729222,9.386936423013504,7.434312298013278
TOI-199 b,0.1700151982378854,0.020001794,-0.020001794,0.8106250000000002,0.005,-0.005,3447994.5537928003,104.854,0.4254,0.09,351.1404653,0.8,2,0.20000000000000007,0.94,0,-0.01,5255,12,-10,0.22,0.03,-0.03,0.28128937938750453,0.045168221905867854,12.106686572203408,1.944038935379605,15.23200846024035,3.2046126592804773
TOI-201 b,0.4200396475770924,0.05000472,-0.030002832,1.0088392857142858,0.012053571,-0.015,38806661.36385965,52.97818,0.3,0.28,643.1552331,0.87,1.33,0.38,1.32,0.03,-0.03,6394,75,-75,0.24,0.036,-0.036,0.071312521,0.031703157,2.931148036661717,1.3030902076499649,9.589280453282305,4.481209503731626
TOI-2010 b,1.2861149465072372,0.055004909,-0.057005098,1.0548214285714286,0.027053571,-0.027053571,5799145.171285451,141.834025,0.5516,0.212,399.8805057,1.9,4.1,0.5999999999999999,1.11,0.05,-0.06,5929,74,-74,0.168,0.055,-0.055,0.048841344161594205,0.034543089,2.369515598318636,1.6758422749007102,20.02586005331994,14.235830085288004
TOI-2134 c,0.1318,0.0242,0.02464,0.649,0.037,0.037,1976230.8233448248,95.5,0.371,0.67,305.526338,3.8,9.3,1.0999999999999996,0.74,0.03,0.03,4580,50,50,0.12,0.02,0.02,0.4551941902973951,0.080425446,24.664293217369345,4.357781402435136,19.351870339715493,5.211042260870692
TOI-2180 b,2.755,0.087,0.081,1.01,0.022,0.019,5060679.278435527,260.79,0.828,0.3683,386.4928296,8.1,9.6,6.8,1.11,0.05,0.05,5695,58,60,0.253,0.057,0.057,0.084325694,0.032806592,3.363813334048056,1.3086788378380765,73.87949823863642,28.926084088387018
TOI-2338 b,5.98,0.21,0.2,1,0.02,0.02,52543547.71482443,22.65398,0.158,0.676,693.7757022,7,9,5,0.99,0.03,0.02,5581,60,60,0.22,0.04,0.04,0.026840953086877596,0.010096153679117982,1.1552338272764442,0.43453815584517397,51.368743971989424,19.36015003378222
TOI-2373 b,9.3,0.2,0.2,0.93,0.02,0.02,120630584.64353886,13.33668,0.112,0.112,853.9915935,5.9,7.6000000000000005,4.2,1.04,0.03,0.03,5651,80,80,0.3,0.05,0.05,0.030785007326149326,0.009198996,1.1020751899277208,0.32931568086386764,90.62261542,28.434889739439015
TOI-2447 b,0.393,0.031,0.027,0.857,0.012,0.011,11199771.55547445,69.33684,0.347,0.17,471.402117,2.1,3.1,1.1,1.03,0.03,0.03,5730,80,80,0.18,0.08,0.08,0.25229883701015593,0.028868539028303233,11.906584896610457,1.3623753278251085,31.576301220925462,4.755252363015541
TOI-2525 c,0.657,0.031,0.032,0.904,0.01,0.01,8324919.529128805,49.2519,0.249,0.157,437.7077623,3.99,8.29,1.3900000000000001,0.85,0.04,0.04,5096,102,102,0.14,0.05,0.05,0.17378539447681896,0.033034064,8.992599221058944,1.7093617261666807,36.34042752704223,7.3879025749655725
TOI-2589 b,3.5,0.1,0.1,1.08,0.03,0.03,15113232.727513492,61.6277,0.3,0.522,508.0758822,11,13,9,0.93,0.03,0.02,5579,70,70,0.12,0.04,0.04,0.028547595145362006,0.023506708844399926,1.5468261070202578,1.2736901565787118,31.772256591195994,26.185341567638815
TOI-3693 b,1.02,0.24,0.22,1.124,0.029,0.023,92822445.37839854,9.088516,0.0813,0,799.8388387,3,6.8,0.8999999999999999,0.87,0.04,0.04,5321,86,82,0.071,0.079,0.076,0.017110407970767915,0.016019369,1.0378445977629878,0.971666838,6.5987353264357065,6.502395525222633
TOI-3757 b,0.26838,0.02769,0.02737,1.071,0.036,0.045,74754434.55525024,3.438753,0.03845,0.14,757.7020769,7.1,11.6,2.5999999999999996,0.64,0.02,0.02,3913,56,56,0,0.2,0.2,0.023046049,0.021985928313351204,1.6461463304504236,1.5704234509536574,2.0045538030605545,1.9406412316213122
TOI-4010 d,0.1200440528634361,0.01028949,-0.010132159,0.5517857142857143,0.0125,-0.013392857,40194717.54198073,14.70886,0.113,0.07,648.8308375,6.1,9.2,2.9999999999999996,0.88,0.03,-0.03,4960,36,-36,0.37,0.07,-0.07,0.6641771019547531,0.023713413719440267,20.237453467921068,0.7225469009701369,25.383226413372693,2.4675345352083973
TOI-4127 b,2.3002056010069225,0.110009817,-0.110009817,1.096875,0.039017857,-0.032053571,29528588.55424308,56.39879,0.3081,0.7471,600.6893188,4.8,6.9,2.6999999999999997,1.23,0.07,-0.07,6096,115,-115,0.14,0.12,-0.12,0.034407852563271044,0.028295148783969312,1.7804489789851403,1.4641445196271068,25.251232093205758,20.869787349004383
TOI-4406 b,0.3,0.03,0.03,1,0.02,0.02,75557296.74004279,30.08364,0.201,0.15,759.7283631,2.9,3.5999999999999996,2.2,1.19,0.03,0.03,6219,70,70,0.1,0.05,0.05,0.021993962029046316,0.018022034,1.2478875023660883,1.0225293363779528,2.146962586881053,1.8039045967607759
TOI-4515 b,2.005,0.052,0.052,1.086,0.039,0.039,56754275.82279132,15.266446,0.118,0.461,707.2759392,1.2,1.4,1,0.95,0.02,0.02,5433,70,70,0.05,0.03,0.03,0.061401985,0.042533354645316664,3.9088983386007823,2.707706587829556,39.143583073046145,27.15591644648967
TOI-4562 b,2.3,0.48,0.47,1.118,0.014,0.013,3797169.225747793,225.11781,0.768,0.76,359.7114197,0.7,,,1.19,0.06,0.06,6096,32,32,0.08,0.06,0.06,0.007996042,0.007260884,0.47505844082446724,0.4313814750978701,7.064145682,6.660485283018417
TOI-4582 b,0.5300473882945248,0.050004468,-0.050004468,0.9407142857142856,0.090089286,-0.120089286,122051315.97068983,31.034,0.2130727046696998,0.51,856.4950435,,,,1.34,0.06,-0.06,5190,100,-100,0.17,0.06,-0.06,0.19227583559677255,0.13562090799931772,9.285315644731822,6.549356214681496,32.55232754440314,23.355542355379132
TOI-5153 b,3.26,0.18,0.17,1.06,0.04,0.04,151673941.8417281,20.33003,0.158,0.091,904.309266,5.4,6.4,4.4,1.24,0.07,0.07,6300,80,80,0.12,0.08,0.08,0.062410258205277146,0.042466875,3.381644451878883,2.301029939414913,64.69110104127475,44.20297068121966
TOI-532 b,0.1935179358086847,0.030522341,-0.029263688,0.5196428571428572,0.016964286,-0.016964286,123307144.81835026,2.3266508,0.0296,0,858.6897876,7.1,11.5,2.3,0.64,0.02,-0.02,3927,37,-37,0.338,0.072,-0.066,0.7302651444496706,0.022783964468186722,23.95259308395125,0.7473108005955117,45.02024781878358,7.778556316373958
TOI-5398 b,0.184707363,0.017935809,-0.017621145,0.9196428571428572,0.035714286,-0.035714286,178569414.43790084,10.590547,0.098,0.13,941.9785339,0.65,0.8,0.5,1.15,0.01,-0.01,6000,75,-75,0.09,0.06,-0.06,0.23936822203196734,0.052985532,13.89755681910905,3.0763041115680454,14.020239763295912,3.293114623423236
TOI-5542 b,1.3201179987413467,0.1000089364380113,-0.100008936,1.0098214285714286,0.036071429,-0.035,12902128.45336998,75.12375,0.332,0.018,488.3762972,10.8,12.9,7.200000000000001,0.89,0.06,-0.03,5700,80,-80,-0.21,0.08,-0.08,0.059677455,0.042609877,6.913249908101516,4.936080619461668,25.272436870848498,18.333920845497897
WASP-105 b,1.8001699181875397,0.1000094398993077,-0.10000944,0.9608035714285714,0.03,-0.03,117830729.61973764,7.87288,0.075,0,848.9925498,,,,0.89,0.09,-0.09,5070,130,-130,0.28,0.16,-0.16,0.16772721975197166,0.054064659,6.287464015199124,2.0266811630234276,96.09150567035418,31.743624570745585
WASP-107 b,0.12,0.01,0.01,0.94,0.02,0.02,68011801.00981888,5.72149,0.055,0,740.0061113,3.4,4.1,2.7,0.69,0.05,0.05,4430,120,120,0.02,0.1,0.1,0.073040435,0.032193183430884634,4.982362396669118,2.1960179640659256,2.773465486536359,1.2130511081889268
WASP-11 b,0.7900745752045312,0.1700160478288231,-0.170016048,1.1108928571428571,0.1000892857142857,-0.100089286,184059264.52292663,3.72247,0.052834545,0,949.136463,7.6,13.399999999999999,4.6,1.42,0.43,-0.43,4800,100,-100,0,,,0.092973863,0.080173182,6.640990247,5.726655884562708,24.71798494984557,22.66032894
WASP-130 b,1.23,0.04,0.04,0.89,0.03,0.03,110478667.2938569,11.55098,0.1012,0,835.4276484,2,,,1.04,0.04,0.04,5625,90,90,0.26,0.1,0.1,0.2650580039436129,0.057205125,10.40430050786648,2.245468175,103.65865807219845,22.778526591795426
WASP-132 b,0.41,0.03,0.03,0.87,0.03,0.03,77770379.14642034,7.133521,0.067,0,765.2314163,0.5,,,0.8,0.04,0.04,4775,100,100,0.22,0.13,0.13,0.1903646089532126,0.06267607,8.193287141003912,2.6975762046108325,24.875904065525166,8.585377689180687
WASP-139 b,0.117,0.017,0.017,0.8,0.05,0.05,162323559.60631862,5.924262,0.062,0,919.7814084,0.5,,,0.92,0.1,0.1,5310,90,90,0.2,0.09,0.09,0.2794145792138095,0.087714697,12.592762922128275,3.9531594633230647,10.50148195882582,3.534231320245478
WASP-148 b,0.287025645,0.022001951,-0.016001416,0.7566071428571429,0.013035714,-0.017053571,143204184.8,8.803809,0.08215,0.208,891.4113608,3.6,7.6,0.8999999999999999,0.95,0.03,-0.05,5555,90,-90,0.099,0.078,-0.078,0.3993581755935649,0.040476595,22.710910404601297,2.3018442369005028,36.463978322195764,4.655116305668117
WASP-162 b,5.2,0.2,0.2,1,0.05,0.05,157152033.29237553,9.62468,0.0871,0.434,912.3663066,12.97,15.32,10.620000000000001,0.95,0.04,0.04,5300,100,100,0.28,0.13,0.13,0.021571638648517476,0.011500529613289014,0.8086397780395923,0.43111169556267903,35.64561092200293,19.063484827406473
WASP-59 b,0.8630459408432977,0.045003147,-0.045003147,0.775625,0.068035714,-0.068035714,43768313.15125047,7.919585,0.0697,0.1,662.7949484,0.5,1.2,0.1,0.72,0.04,-0.04,4650,150,-150,-0.15,0.11,-0.11,0.4167070668050253,0.065718038,42.043884069408605,6.630656842124684,114.16792741499347,19.09423397486015
WASP-69 b,0.26,0.017,0.017,1.057,0.047,0.047,194207741.3745914,3.8681382,0.04525,0,961.9574708,2,,,0.83,0.03,0.03,4715,50,50,0.144,0.077,0.077,0.0334995,0.030380028694732254,1.7175535623551792,1.5576150832670692,2.7811078837278305,2.538673896358361
WASP-8 b,2.132,0.08,0.081,1.038,0.007,0.047,166092362.11720082,8.158715,0.0801,0.3057,925.074379,4,5,3,1.03,0.05,0.06,5600,80,80,0.17,0.07,0.07,0.070801791,0.038297474375726406,3.419134661797171,1.8494478875670919,48.022487906052774,26.12129284715113
WASP-80 b,0.538,0.035,0.036,0.999,0.03,0.031,106280539.38375968,3.06785234,0.0344,0.002,827.375535,,,,0.58,0.05,0.05,4143,92,94,-0.13,0.15,0.17,0.044556162,0.034597357,4.2931863173904645,3.333610737972518,7.689752955464345,6.037748210409276
WASP-84 b,0.687,0.033,0.033,0.976,0.025,0.025,94085048.68,8.5234962,0.0775,0,802.5449955,2.1,3.7,0.5,0.85,0.06,0.06,5280,80,80,0.09,0.12,0.12,0.11685558733205867,0.049923980135139406,6.784556240555444,2.8985524673008287,25.560565229188924,11.072902564326647
Wendelstein-1 b,0.5920558842039018,0.1650155758338577,-0.129012177,1.0322321428571428,0.006071429,-0.006071429,139940386.99846148,2.663416,0.0282,0.012,886.2882774,,,,0.65,0.1,-0.1,4251,175,-175,,,,0.014728346291192646,0.011702966591270538,,,3.6364359119137237,3.2205777512093987
HATS-6 b,0.3190301132787917,0.070006608,-0.070006608,0.9988392857142856,0.019017857,-0.019017857,58427243.85042611,3.3252725,0.03623,0,712.4314574,8.1,12.399999999999999,3.8,0.57,0.02,-0.03,3724,18,-18,0.2,0.091,-0.091,0.015607693,0.014160872145374826,0.7034134738193994,0.6382075917406598,1.9367891948133384,1.903554431552163
HATS-74 A b,1.460130490874764,0.1400125235997482,-0.140012524,1.032857142857143,0.020982143,-0.020982143,147614130.07394734,1.73185606,0.02384,0.044,898.1962144,11,16.1,5.9,0.6,0.01,-0.01,3776.9,9.5,-9.5,0.514,0.033,-0.021,0.032584975,0.024032025423324756,0.7126714330348698,0.5256084505981794,15.496778237829279,11.760112332343802
HATS-75 b,0.491043896,0.039003493,-0.039003493,0.884732143,0.013035714,-0.013035714,79338144.98117822,2.7886556,0.032742,0.064,769.0591576,14.9,18.2,10.600000000000001,0.6,0.01,-0.01,3790.4,5.7,-5.7,0.522,0.051,-0.028,0.13758824126716834,0.027350649229219644,2.954291082810931,0.5872724179246732,21.596786413496986,5.130403912257709
Kepler-45 b,0.5050251730648206,0.090006293,-0.090006293,0.9607142857142856,0.1098214285714285,-0.109821429,88199410.37987703,2.455239,0.03,0.11,789.688217,0.5,,,0.59,0.06,-0.06,3820,90,-90,0.28,0.14,-0.14,0.17988545230072592,0.1331766826477339,6.743230525558969,4.992294041774799,29.39756916282059,22.93791181145685
TIC-6432937 b,3.2,0.11,0.11,1.188,0.03,0.03,131522483.21922375,,0.03418,,872.6482808,7.4,12.5,2.3000000000000007,0.563,0.029,0.029,3572,57,57,0.323,0.081,0.081,0.012164749137627653,0.011850033283952944,0.41302384141941334,0.40233844631839544,12.382334005341772,11.955703018206485
TOI-3235 b,0.665,0.025,0.025,1.017,0.044,0.044,30170052.80322637,2.59261842,0.02709,0.029,603.9253435,,,,0.39,0.02,0.02,3388.8,68,68,0.264,0.1,0.1,0.055862071,0.045062062,2.172646143246367,1.7526008943973614,11.84214769,9.589283268785517
TOI-3629 b,0.243,0.02,0.02,0.74,0.014,0.014,57890551.81188729,3.9365578,0.04194,0.056,710.7897555,9.8,16.4,5.000000000000001,0.64,0.03,0.03,3865,79,79,0.549,0.093,0.093,0.3628898491941913,0.032144217031312435,7.322287629206084,0.6485968214364207,28.080918514844473,3.7743108704748805
TOI-3714 b,0.689,0.03,0.03,0.994,0.02,0.02,78842151.23395433,2.15484802,0.0263,0.047,767.8543587,12.5,17.4,6,0.52,0.03,0.03,3652,81,81,0.39,0.086,0.086,0.026689453946412964,0.021086662516960984,0.7766255116521275,0.6135921738657953,5.891193783668969,4.688234695452217
TOI-3984 A b,0.1384518565135305,0.027375708,-0.025173065,0.7053571428571429,0.021428571,-0.021428571,23288188.28598141,4.353326,0.041,0.23,566.0739418,2.9,5.1,0.6999999999999997,0.49,0.02,-0.02,3476,88,-88,0.18,0.12,-0.12,0.4475973606811028,0.049593427,21.12318882482124,2.3404323211766185,19.87207270861725,4.409415931504895
TOI-4201 b,2.4802216803020767,0.090008055,-0.090008055,1.220982142857143,0.04,-0.04,66559389.09116748,3.5819194,0.04,0.041,736.0233108,1.4,2,0.7,0.61,0.02,-0.02,3794,79,-79,0.52,0.08,-0.08,0.016964303,0.015979098,0.3659384043262462,0.3446864526250173,13.401558727343357,12.628260109432235
TOI-4860 b,0.2728130899937067,0.005978603,-0.005978603,0.7767857142857143,0.035714286,-0.035714286,54721888.481405735,1.5227591,0.01808,0.008,700.8571473,,,,0.34,0.01,-0.01,3260,50,-50,0.27,0.12,-0.12,0.32525506168808205,0.073053359,12.476593575490575,2.8022840576850703,28.205060344042742,6.381605832
TOI-5176 A b,0.6167400881057269,0.047199497,0.047199497,0.9419642857142858,0.034821429,0.034821429,4677930.602170231,20.35847252,0.1208,0.042,378.9681234,7.4,11.8,2.6000000000000005,0.562,0.024,0.024,3711,88,88,0,1e+20,1e+20,0.085688334,0.054671645,6.120595301415975,3.905117529506247,16.956572322790752,11.05089928304084
TOI-519 b,0.4630413782252989,0.082007332,-0.088007867,1.0308035714285717,0.03,-0.03,71400506.29320283,1.2652328,0.0159,0.33,749.0564712,5.4,10,0.8000000000000007,0.34,0.01,-0.01,3322,49,-49,0.27,0.09,-0.09,0.037620263,0.03141967,1.443091257842097,1.2052401309322296,5.921567353068511,5.219479465476638
TOI-5205 b,1.079295154185022,0.056639396,-0.053492763,1.0357142857142858,0.026785714,-0.026785714,65552638.77996537,1.630757,0.0199,0.02,733.224186,,,,0.39,0.01,-0.01,3430,54,-54,0,,,0.039274667,0.030100759,2.8053333337341178,2.150054204385457,13.551150915816583,10.45575209030673
TOI-5293 A b,0.54,0.07,0.07,1.06,0.04,0.04,47434778.02286115,2.930289,0.034,0.38,676.2596192,2.9,5.1,0.6999999999999997,0.54,0.02,0.02,3586,88,88,-0.03,0.12,0.12,0.040652486,0.034371176308688134,3.1114231448154293,2.6306699256060564,7.213052102038921,6.265049952935881
TOI-530 b,0.4,0.09,0.1,0.83,0.06,0.06,23704857.49366988,6.387597,0.052,0,568.5891586,,,,0.53,0.02,0.02,3659,120,120,0.376,0.095,0.095,0.2564771735723492,0.11536145113723713,7.707626892476168,3.4668310273218985,33.44619939205392,18.32969804
TOI-5344 b,0.412,0.04,0.04,0.946,0.021,0.021,51530929.15104952,3.792622,0.04041,0.054,690.4086609,10.9,16.7,5.1000000000000005,0.61,0.03,0.03,3747,64,64,0.425,0.088,0.088,0.040244342,0.029026305750834005,1.0803806515088226,0.7792265292482993,5.4082490387439535,4.035889429702251
TOI-6034 b,0.7992448080553807,0.075519194,0.075519194,1.0642857142857145,0.042857143,0.042857143,58776540.31153454,2.576184,0.02949,0.04,713.4938635,7.8,12,2.5999999999999996,0.514,0.025,0.022,3635,88,88,0,1e+20,1e+20,0.03741807,0.032337188,2.672719294663574,2.309799144332996,9.747775448768337,8.557929662575543
TOI-6383 b,0.8883715884203901,0.093992149,0.092926279,0.8986272714285716,0.042897007,0.032207299,67929365.22733408,1.79059516,0.02218998,0,739.7817725,,,,0.45381898,0.01880934,0.01926119,3450.09,149.5246038,149.7120921,0.2,0.072,0.08,0.21873643757664765,0.072232676,9.858097271029939,3.2554098156934583,62.071001745081276,22.336299279247793
TOI-762 A b,0.251,0.042,0.042,0.744,0.017,0.017,21577444.091526646,,0.03418,,555.3787228,9.3,14.8,3.8000000000000007,0.442,0.025,0.025,3266,36,36,0.357,0.085,0.085,0.34728653520061004,0.043037688,10.903348907277218,1.3512039279024406,27.94315623473317,6.8226974491391275
